8138,False Arrest,4
8138,Illegal Search,16
8138,Lockup Procedures,1
8138,Operation/Personnel Violations,29
8138,Supervisory Responsibilities,1
8138,Use Of Force,57
8138,Verbal Abuse,8
8145,Criminal Misconduct,1
8145,False Arrest,4
8145,Illegal Search,7
8145,Operation/Personnel Violations,3
8145,Use Of Force,3
8169,False Arrest,1
8169,Illegal Search,7
8169,Lockup Procedures,1
8169,Operation/Personnel Violations,4
8169,Traffic,2
8169,Unknown,1
8169,Use Of Force,3
8176,Domestic,2
8176,False Arrest,1
8176,Illegal Search,9
8176,Money / Property,1
8176,Operation/Personnel Violations,7
8176,Traffic,2
8176,Unknown,1
8176,Use Of Force,9
8248,Domestic,1
8248,False Arrest,1
8248,Illegal Search,4
8248,Operation/Personnel Violations,3
8248,Use Of Force,4
8248,Verbal Abuse,1
8300,Drug / Alcohol Abuse,1
8300,False Arrest,3
8300,Illegal Search,6
8300,Operation/Personnel Violations,1
8300,Use Of Force,2
8304,Bribery / Official Corruption,2
8304,False Arrest,1
8304,Illegal Search,1
8304,Lockup Procedures,2
8304,Money / Property,1
8304,Traffic,1
8342,Conduct Unbecoming (Off-Duty),2
8342,Illegal Search,1
8342,Lockup Procedures,2
8342,Operation/Personnel Violations,15
8342,Supervisory Responsibilities,1
8342,Traffic,5
8342,Use Of Force,2
8355,False Arrest,2
8355,Illegal Search,3
8355,Lockup Procedures,1
8355,Operation/Personnel Violations,3
8355,Traffic,2
8355,Use Of Force,3
8399,Conduct Unbecoming (Off-Duty),1
8399,Operation/Personnel Violations,3
8399,Use Of Force,2
8466,Bribery / Official Corruption,1
8466,Conduct Unbecoming (Off-Duty),1
8466,False Arrest,2
8466,Operation/Personnel Violations,3
8466,Use Of Force,2
8475,Domestic,1
8475,False Arrest,4
8475,Illegal Search,3
8475,Operation/Personnel Violations,16
8475,Traffic,2
8475,Use Of Force,6
8485,False Arrest,1
8485,Illegal Search,6
8485,Operation/Personnel Violations,2
8556,Conduct Unbecoming (Off-Duty),1
8556,Criminal Misconduct,1
8556,Domestic,1
8556,Lockup Procedures,1
8556,Operation/Personnel Violations,1
8556,Use Of Force,10
8556,Verbal Abuse,1
8745,Conduct Unbecoming (Off-Duty),1
8745,Criminal Misconduct,2
8745,Domestic,1
8745,False Arrest,4
8745,Illegal Search,5
8745,Lockup Procedures,1
8745,Operation/Personnel Violations,7
8745,Use Of Force,1
8745,Verbal Abuse,2
8794,Domestic,1
8794,False Arrest,1
8794,Illegal Search,3
8794,Operation/Personnel Violations,10
8794,Supervisory Responsibilities,3
8794,Use Of Force,12
8804,Domestic,1
8804,False Arrest,1
8804,Money / Property,1
8804,Operation/Personnel Violations,3
8804,Use Of Force,2
8842,False Arrest,2
8842,Illegal Search,1
8842,Lockup Procedures,1
8842,Operation/Personnel Violations,7
8842,Use Of Force,7
8897,Bribery / Official Corruption,1
8897,Domestic,1
