id,gender,race,rank,age,career_length,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,allegation_count,sustained_count,civilian_compliment_count,discipline_count,honorable_mention_count,major_award_count,trr_count,unsustained_count,number_of_awards,salary
16365,M,Hispanic,Sergeant of Police,62,35,75.0946,67.0371,48.0315,90.1684,23,3,2,2,5,0,0,11,14,111474
2748,M,White,Police Officer,39,17,96.7117,93.0328,74.7463,98.9549,25,8,0,8,10,0,15,3,15,83616
3537,M,White,Police Officer / Explosives Detective Canine Handler,56,34,73.2796,47.6380,50.3736,0.0000,22,0,4,0,6,0,1,11,20,99978
1332,M,Black,Police Officer,53,25,97.6654,97.5782,58.2560,79.9133,50,1,2,1,7,0,4,33,15,93354
985,M,Hispanic,Police Officer,62,33,96.1834,94.3351,81.9506,99.3784,54,14,0,14,30,0,6,31,36,83706
20692,M,White,Police Officer,46,20,94.4633,95.2212,96.0701,0.0000,28,0,2,0,98,0,8,8,114,90024
14362,M,White,Police Officer as Detective,57,29,76.9807,33.7025,0.0000,72.8596,20,0,2,0,0,0,0,10,11,90540
13391,M,Black,Police Officer,56,31,99.2931,83.7403,61.5778,61.1521,91,3,11,2,11,0,6,67,28,95106
21293,M,White,Police Officer as Detective,49,23,98.8422,99.0383,91.2896,79.9133,56,2,2,2,72,1,10,29,91,97440
28528,M,Black,Police Officer,56,24,90.6041,89.5804,83.0482,61.1521,28,2,8,2,42,1,2,17,63,93354
4265,M,Hispanic,Police Officer,41,14,94.8531,95.5850,98.1855,0.0000,19,0,3,0,94,0,14,4,126,87006
13250,M,White,Police Officer,47,22,89.9622,91.4192,85.7263,61.1521,24,1,5,1,44,0,7,10,60,90024
22859,M,Hispanic,Police Officer,57,34,68.0754,24.1180,27.8035,0.0000,21,3,2,3,1,0,0,9,10,96060
31456,M,Black,Police Officer,54,29,80.5663,53.0197,74.7809,61.1521,24,2,1,2,27,0,2,12,33,96060
21774,M,White,Lieutenant of Police,44,21,86.2749,87.5224,89.3748,61.1521,20,1,5,1,57,0,10,8,98,117894
11509,M,Black,Captain of Police,50,24,83.2563,83.7403,71.8763,0.0000,21,0,1,0,17,0,10,14,38,132876
32359,F,White,Police Officer,48,23,84.6662,85.1455,77.5205,61.1521,21,0,1,0,26,0,5,10,40,86520
7201,M,White,Sergeant of Police,45,22,83.9364,86.3763,84.6557,61.1521,19,0,3,0,41,0,2,11,59,104628
4482,F,White,Police Officer,45,21,85.3999,86.3763,86.3603,61.1521,21,0,9,0,44,0,8,2,70,90024
14513,M,White,Sergeant of Police,52,26,90.5735,53.0197,71.4106,88.3297,32,0,4,0,18,1,1,26,38,101442
11414,M,Black,Police Officer,56,29,85.7782,41.5139,37.1737,0.0000,29,3,1,3,2,0,0,23,12,96060
19169,F,White,Police Officer Assigned Canine Handler,55,26,83.6995,74.8804,88.0260,61.1521,23,2,4,2,63,0,12,8,77,98052
4178,F,Hispanic,Police Officer,47,22,92.0217,92.8393,89.2163,79.9133,28,0,1,0,57,0,19,8,78,90024
22828,M,White,Sergeant of Police,47,25,99.0753,98.4652,78.7043,88.3297,64,3,4,3,31,0,2,28,69,107988
4475,M,White,Police Officer,61,33,68.0754,47.6380,28.3145,0.0000,19,0,2,0,1,0,0,12,12,95106
8850,M,Black,Police Officer,56,24,91.1314,87.5224,64.9804,88.3297,29,3,9,3,10,0,2,9,25,92430
14294,M,Black,Sergeant of Police,57,30,94.7843,86.3763,66.8305,61.1521,50,3,17,1,16,0,20,31,55,111474
20125,M,White,Lieutenant of Police,48,24,95.9115,94.6432,94.6825,88.3297,40,0,13,0,103,1,28,15,159,121464
32083,M,Black,Police Officer,54,30,71.6174,47.6380,52.2722,0.0000,19,0,3,0,7,0,2,14,25,96060
26531,F,White,Police Officer,58,31,99.0334,94.4451,0.0000,99.3535,63,12,0,11,12,1,0,34,15,60600
24345,M,Hispanic,Police Officer as Detective,53,28,81.2235,83.7403,73.6262,0.0000,23,1,5,1,23,0,8,10,51,100980
14712,M,White,Sergeant of Police,51,25,91.3721,85.1455,63.7384,97.8822,32,1,4,0,10,0,1,13,19,107988
32365,M,White,Police Officer,41,17,98.0780,98.1961,86.4023,0.0000,34,0,3,0,37,0,23,11,68,87006
16878,M,White,Police Officer,57,26,88.1799,85.1071,79.8821,0.0000,27,1,6,1,27,0,5,16,49,83706
32236,M,White,Sergeant of Police,42,20,88.2121,89.5705,93.5311,0.0000,21,0,4,0,76,0,17,3,107,104628
4110,M,White,Police Officer / Mounted Patrol Officer,60,32,81.2502,61.9992,44.9300,0.0000,27,1,8,1,4,0,0,21,23,99978
18934,M,White,Police Officer,76,39,82.7447,0.0000,66.3806,83.4251,24,0,0,0,4,0,0,14,7,78006
14865,M,Black,Police Officer,69,32,69.3516,53.0197,48.3423,61.1521,19,2,1,2,5,0,1,8,12,83706
5739,M,White,Lieutenant of Police,53,28,98.6665,95.7794,76.7571,79.9133,67,4,3,3,30,0,3,41,64,121464
3017,M,White,Sergeant of Police,41,19,91.8574,92.0720,98.5057,72.6530,24,1,4,0,138,0,25,4,158,104628
4484,M,White,Police Officer,45,22,94.2685,94.1100,98.3051,93.0935,33,0,4,0,155,0,30,8,194,90024
7883,M,White,Police Officer,52,26,83.6995,65.6966,63.3567,0.0000,23,1,3,1,10,0,1,11,22,93354
6508,F,White,Sergeant of Police,58,32,68.5492,29.7987,0.0000,61.1521,19,5,3,4,0,0,0,10,11,102978
31423,M,White,Sergeant of Police,48,25,84.6051,81.8766,68.8941,61.1521,23,0,5,0,14,0,3,8,47,107988
1436,F,Black,Police Officer,42,16,92.4611,92.6201,85.5387,75.2791,19,0,2,0,31,0,4,4,42,87006
12788,M,Black,Police Officer,76,50,93.4875,87.7063,0.0000,0.0000,36,6,0,6,8,0,0,21,12,69264
16302,M,White,Police Officer,64,13,99.0677,91.1999,97.0372,0.0000,29,1,4,0,69,0,13,13,110,95106
5531,M,White,Police Officer,49,24,98.1850,97.4287,97.7068,88.3297,53,2,6,1,157,0,18,20,187,93354
31578,M,Asian/Pacific,Sergeant of Police,52,27,99.1632,98.6795,78.5296,61.1521,71,3,2,3,34,0,2,37,62,107988
18701,M,Hispanic,Police Officer,56,33,73.2796,57.7487,53.2361,61.1521,22,3,14,3,7,0,3,11,34,96060
17739,M,Hispanic,Police Officer as Detective,51,29,73.2643,29.7987,52.9870,0.0000,20,0,10,0,6,0,3,16,29,103932
11622,M,Black,Police Officer / Mounted Patrol Officer,58,34,68.0754,29.7987,52.5763,61.1521,19,3,4,3,7,0,1,8,17,100980
27858,M,White,Police Officer,55,22,99.1401,97.8491,0.0000,98.5050,34,2,3,2,9,1,3,21,14,64662
32430,M,White,Police Officer,38,12,97.8488,97.9968,99.7962,0.0000,22,0,6,0,133,2,29,2,165,84054
26520,M,White,Police Officer,61,33,83.3021,81.8766,62.8877,61.1521,30,1,6,1,13,0,1,14,26,96060
29894,M,White,Police Officer as Detective,55,23,85.9998,87.5224,63.5831,0.0000,22,0,4,0,9,0,2,9,38,100980
23239,M,White,Police Officer / Field Training Officer,51,23,96.8859,97.8772,79.0180,61.1521,41,0,3,0,30,0,6,5,39,98052
30793,M,Black,Police Officer,71,45,81.9592,91.6552,46.1719,79.7529,26,0,2,0,6,0,1,9,13,80736
5132,M,White,Police Officer,47,22,97.3100,97.2095,80.6061,79.9133,41,2,4,1,31,0,23,16,48,90024
1172,M,White,Police Officer,50,26,98.1277,97.8772,88.6761,88.3297,58,3,6,2,67,0,11,19,95,93354
5204,M,White,Sergeant of Police,45,21,92.3541,92.1417,80.1565,79.9133,27,2,4,2,28,1,6,7,61,104628
23067,M,White,Police Officer,38,15,97.8793,97.4935,99.7639,90.7614,29,1,3,0,162,0,33,5,205,87006
32346,M,Black,Police Officer,56,26,88.3497,79.7738,76.8186,88.3297,29,1,1,1,29,0,0,11,59,93354
16733,M,Hispanic,Sergeant of Police,50,16,95.2849,95.9637,98.1014,0.0000,22,1,3,0,101,0,19,6,128,101442
9555,M,Hispanic,Police Officer,56,29,79.7524,41.5139,59.6274,61.1521,23,7,3,5,9,0,3,9,17,96060
3713,M,White,Sergeant of Police,51,28,81.8731,77.6460,64.6990,0.0000,24,2,2,2,12,0,5,16,25,111474
27226,M,White,Sergeant of Police,48,23,84.8649,85.1455,91.4448,88.3297,21,2,5,1,74,0,36,7,103,104628
25126,M,White,Police Officer,75,50,92.0342,87.5952,0.0000,0.0000,33,4,2,4,2,0,0,21,5,67908
678,M,Black,Police Officer,51,26,81.8922,65.6966,57.1207,0.0000,22,2,4,2,7,0,3,15,16,93354
579,M,Black,Police Officer,56,32,97.0540,92.1417,77.5560,79.9133,63,8,1,7,39,0,7,33,46,96060
23781,M,Hispanic,Police Officer,56,29,88.7318,81.8766,75.7864,0.0000,32,1,3,1,26,0,5,16,43,92430
17773,M,Black,Police Officer,57,21,86.2749,87.5224,84.1155,0.0000,20,3,4,3,38,0,1,2,54,90024
198,M,Hispanic,Police Officer,61,37,70.0126,29.7987,0.0000,0.0000,21,1,1,1,0,0,2,14,6,96060
