officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity
29396,3,3,29,1,47.3464,0,3,6.39,9.6
29397,6,3,31,1,0,1,3,0.77,0.77
29398,3.3846153846153846,11.538461538461538,45.53846153846154,1,86.9054,0.03846153846153846154,2,10.0961538461538462,16.59
29399,3.7894736842105263,4.105263157894737,29.105263157894736,1,98.1965,0.10526315789473684211,1,9.7378947368421053,16.59
29400,3,3.8,30.8,1,92.2548,0.1,2,10.79,16.59
29401,3.5384615384615385,18.76923076923077,48.76923076923077,1,58.2345,0.15384615384615384615,2,7.7446153846153846,16.59
29402,2.3333333333333333,1.6666666666666667,29.666666666666668,1,80.23,0,2,5.5433333333333333,9.56
29403,3.5,4.35,27.35,1,96.542,0.05,2,9.18,16.59
29404,1.7142857142857143,12.714285714285714,47.714285714285715,0,68.9248,0.07142857142857142857,3,5.0071428571428571,9.6
29407,11.8888888888888889,9.666666666666666,38.666666666666664,1,47.866,0,2,13.3255555555555556,16.59
29408,3.1,4.3,28.3,1,85.3043,0,2,10.464,16.59
29409,2.7142857142857143,4.428571428571429,30.428571428571427,0,64.1168,0,3,8.9242857142857143,16.59
29410,5.2857142857142857,19.428571428571427,44.42857142857143,1,52.317,0.14285714285714285714,3,9.3385714285714286,13.42
29414,2.125,3.75,34.75,1,74.0667,0.125,2,6.32375,16.59
29415,2.3333333333333333,26.666666666666668,50.666666666666664,1,39.6028,0,2,9.79,16.59
29416,1.5,4,31,1,38.8734,0.5,3,11.835,16.59
29417,2,8.090909090909092,47.09090909090909,0,55.0055,0.18181818181818181818,3,4.7690909090909091,8.22
29419,1,30,56,1,26.3321,0,3,8.22,8.22
29420,2,18.25,50.25,0,34.0413,0,3,5.52,6.3
29421,2.5,9.444444444444445,46.44444444444444,0,57.686,0.3,2,6.23,15
29422,1,27,50,1,31.5422,0,3,0.77,0.77
29423,2.5714285714285714,4.785714285714286,30.785714285714285,1,89.383,0,2,8.5328571428571429,16.59
29428,2.3333333333333333,12.2,39.2,0,63.0316,0.06666666666666666667,2,6.6286666666666667,16.59
29429,3,3,36,1,19.4834,0,3,9.6,9.6
29430,1.4,10.6,47.6,1,65.4083,0,3,8.1733333333333333,17.67
29431,2,6,34,1,37.8287,0,3,15.35,16.59
29432,6.5,21.75,46.75,1,61.8394,0,2,10.969375,16.59
29433,4,3.2,31.2,1,74.8271,0,3,12.028,16.59
29434,2,4.5,38.5,0,29.6741,0,3,15.055,15.38
29435,2,-3,30,1,73.505,0.66666666666666666667,3,7.78,16.59
29436,2.25,5.583333333333333,30.583333333333332,1,82.8474,0,2,12.1725,16.59
29437,1.75,1.25,28.25,0,86.8595,0,3,8.9733333333333333,12.28
29438,2.0909090909090909,12.363636363636363,39.36363636363637,1,59.245,0.36363636363636363636,2,7.6045454545454545,20.52
29439,6,2.5,27.5,1,0,0,3,3.42,6.07
29441,2.3076923076923077,19.025641025641026,45.02564102564103,1,91.742,0.05128205128205128205,2,8.5048717948717949,19.9
29445,4.9622641509433962,12.81132075471698,44.81132075471698,1,95.2887,0.01886792452830188679,2,11.5781132075471698,18.81
29446,2.0625,20.625,47.625,1,76.1785,0,2,9.26375,16.59
29450,2.4,9,49,0,46.3146,0,3,14.756,42.38
