gender,race,allegation_count,sustained_count,honorable_mention_count,unsustained_count,discipline_count,civilian_compliment_count,trr_count,major_award_count,current_salary
M,Black,47,1,5,27,1,6,1,0,78006
M,Asian/Pacific,47,3,6,26,3,7,2,0,80724
M,White,47,2,10,25,2,3,0,0,78006
M,White,47,2,14,22,2,3,16,0,121464
M,White,47,2,74,14,2,3,13,0,90024
M,White,47,4,36,26,3,11,25,0,93354
M,Hispanic,47,1,26,22,0,1,1,2,93354
M,White,47,8,6,17,8,3,8,0,93354
M,Black,47,7,21,21,6,2,5,0,107988
M,Black,47,8,9,23,7,10,6,0,93354
M,White,47,4,31,18,4,4,3,0,93354
M,White,47,4,9,31,4,3,0,1,
M,White,47,3,194,22,1,4,4,0,107988
M,Black,47,5,8,33,4,0,2,0,78006
M,Hispanic,47,1,30,24,1,7,3,0,93354
M,Hispanic,47,6,14,29,5,5,4,0,86130
M,Black,47,4,1,36,3,1,0,0,96060
M,Hispanic,47,0,181,14,0,3,31,1,87006
M,Black,47,4,10,35,4,3,0,1,78006
M,White,47,3,0,31,2,0,0,0,
F,White,47,0,15,38,0,1,5,1,84630
M,Black,47,1,76,28,2,3,21,1,93354
M,Hispanic,47,1,36,21,2,2,15,1,104628
M,White,47,0,8,28,0,4,2,0,125190
M,Hispanic,47,0,94,11,1,2,25,3,87006
M,Black,47,3,13,25,3,6,5,0,93354
M,Hispanic,47,2,7,31,2,5,0,0,98766
M,White,47,4,203,12,3,5,48,3,90024
M,Hispanic,47,3,31,27,3,6,5,0,93354
M,Black,47,5,15,20,5,5,6,1,83706
M,Hispanic,47,2,57,26,2,5,2,1,136170
M,Asian/Pacific,46,4,20,30,3,16,2,0,103932
M,White,46,1,44,26,1,2,7,0,109278
M,White,46,2,10,29,1,2,2,0,79926
M,White,46,1,95,14,0,10,28,0,107988
F,Black,46,17,4,22,17,2,0,0,110370
M,White,46,3,41,16,3,4,8,2,107988
M,White,46,1,20,28,1,8,3,2,103932
M,Black,46,1,12,27,1,3,8,0,103932
M,White,46,1,10,24,2,4,12,0,121464
M,White,46,1,16,27,1,3,3,0,100980
M,White,46,2,46,30,2,4,6,0,132876
M,Black,46,4,14,31,4,4,3,0,96060
M,White,46,0,13,35,0,10,4,0,95106
M,White,46,1,36,23,1,4,4,0,93354
M,White,46,1,3,35,0,0,0,0,69264
M,White,46,7,3,25,7,2,1,0,83706
M,Hispanic,46,5,34,21,5,1,7,0,100980
M,White,46,3,2,34,3,1,0,0,84402
M,Black,46,4,20,29,3,1,10,0,93354
M,Hispanic,46,7,6,29,6,4,2,0,75816
M,Hispanic,46,1,41,31,1,8,12,0,93354
M,Black,46,6,7,19,6,4,6,1,86130
M,White,46,2,163,32,3,3,10,0,100980
M,Hispanic,46,6,38,15,6,1,13,0,99756
M,White,46,2,28,32,2,33,1,2,93354
M,Black,46,2,33,22,2,5,11,0,93354
M,Black,46,0,37,19,0,2,5,0,93354
