race,rank,allegation_count,civilian_compliment_count,current_badge,current_salary,honorable_mention_count,unsustained_count
Hispanic,Police Officer,7,8,6668,90024,66,1
White,Police Officer / Field Training Officer,33,0,19163,70296,2,16
White,"",0,0,9481,48078,0,0
White,Police Officer,4,4,9596,84054,15,0
Hispanic,Sergeant of Police,9,3,1959,111474,13,5
Hispanic,Police Officer,6,2,7850,90024,13,5
Black,Police Officer as Detective,9,5,21295,100980,8,4
White,Police Officer,3,0,11533,73164,3,1
White,Police Officer,8,2,5820,96060,4,2
White,Police Officer,8,2,7501,93354,7,4
Hispanic,Sergeant of Police,19,0,2115,101958,2,7
White,Police Officer,14,2,7475,90024,6,5
White,Police Officer,11,4,5212,87006,133,2
White,Police Officer as Detective,26,2,20868,100980,1,18
White,Sergeant of Police,16,5,1732,111474,3,8
Black,Police Officer,4,1,4954,80016,13,0
White,Police Officer,6,13,13711,93354,6,4
White,Sergeant of Police,13,4,2638,107988,15,6
Hispanic,Police Officer,1,0,19486,76266,3,0
White,Police Officer as Detective,17,1,20651,100980,17,8
Black,Police Officer,4,4,3982,93354,12,2
Hispanic,Police Officer,20,3,5487,96060,27,11
White,Police Officer,68,1,3942,93354,117,29
Hispanic,"",0,0,8559,48078,0,0
Hispanic,"",0,0,10689,48078,0,0
White,Police Officer,1,0,16246,76266,1,0
Black,Police Officer,6,2,17109,90024,7,3
Hispanic,Police Officer,36,1,7859,96060,21,19
Hispanic,Police Officer,13,2,18402,93354,7,5
White,Police Officer as Detective,3,2,21341,100980,1,1
Black,Police Officer,4,1,19965,87006,26,1
Black,Police Officer,0,0,18659,48078,0,0
Hispanic,Police Officer,1,1,4595,80016,13,1
Hispanic,Police Officer,2,2,10987,95106,31,1
Black,Police Officer,2,1,18825,87006,7,0
White,Police Officer,14,3,6234,96060,14,4
Black,Police Officer,17,4,6154,90024,5,4
White,Police Officer,54,6,5181,90024,73,22
White,Police Officer Assigned Evidence Technician,1,7,11413,94524,7,0
White,Police Officer,3,0,14720,84054,18,0
Hispanic,Police Officer,0,0,17403,72510,5,0
White,Police Officer,27,4,12916,87006,141,10
Hispanic,Police Officer as Detective,3,2,20342,100980,3,2
White,Police Officer,0,0,15401,72510,1,0
Black,Police Officer,7,6,8568,87006,24,0
Hispanic,Police Officer,14,2,7213,87006,37,4
White,Police Officer,9,7,19195,93354,7,4
White,Police Officer,23,9,19640,90024,10,8
Black,Police Officer,11,2,18879,93354,2,4
White,Sergeant of Police,8,8,2267,101958,4,5
White,Police Officer,4,2,5232,84054,46,1
Hispanic,Police Officer as Detective,9,2,21248,103932,2,5
White,Police Officer,4,2,13964,93354,3,2
Asian/Pacific,Police Officer,4,6,15840,84054,78,0
Black,Police Officer,58,6,18426,93354,13,34
Black,Police Officer,24,4,15738,90024,30,10
Hispanic,Police Officer,27,1,2747,96060,0,23
Black,"",0,0,11003,48078,0,0
White,Police Officer,7,2,15713,87006,7,1
Black,Police Officer,32,4,19152,93354,68,7
White,Police Officer,8,3,19924,92430,8,6
Black,Police Officer,8,6,6997,90024,64,3
Black,Police Officer,14,1,6612,90024,6,8
Hispanic,Sergeant of Police,6,10,317,104628,66,3
Hispanic,Sergeant of Police,35,2,976,102978,5,13
Asian/Pacific,Police Officer,16,2,19373,93354,20,8
Hispanic,Police Officer,31,1,17012,80724,2,13
Black,Police Officer,15,1,3719,96060,6,11
White,Police Officer,8,5,5825,83604,22,3
White,Police Officer,32,1,19020,93354,15,20
White,Police Officer,2,6,11320,84054,23,1
White,Police Officer,0,0,10191,68616,1,0
Hispanic,Police Officer,3,1,17274,80016,8,0
Black,Police Officer,7,8,13140,96060,12,3
Black,Police Officer,6,3,6098,95106,1,2
White,Police Officer,5,5,4049,90024,11,0
White,Police Officer,2,1,11704,84054,6,0
Hispanic,Police Officer,3,4,18341,90024,2,1
White,Police Officer,11,2,3598,79926,4,4
White,Police Officer,3,0,18736,72510,5,0
White,Captain of Police,17,11,88,132876,11,8
White,Police Officer,4,0,17140,85278,3,2
Hispanic,Police Officer,15,1,11609,70656,4,7
Hispanic,Commander,29,8,12,162684,8,16
Hispanic,Police Officer,36,2,18438,90024,82,15
Asian/Pacific,"",0,0,7554,48078,0,0
White,Police Officer,9,1,9181,87006,29,0
White,Sergeant of Police,13,4,1584,101442,79,2
White,Sergeant of Police,11,4,1148,104628,25,1
White,Police Officer,3,7,6342,93354,9,1
White,Police Officer,0,0,12561,72510,11,0
White,Police Officer,11,1,18863,84054,58,1
White,Police Officer,14,2,8143,90024,150,1
Hispanic,Police Officer / Explosives Detective Canine Handler,2,1,13340,98052,6,1
Hispanic,Police Officer,3,1,8181,87006,9,1
White,Police Officer,10,4,17825,87006,98,2
White,Sergeant of Police,26,1,836,104628,23,9
White,Police Officer,3,4,11309,87006,65,1
White,Police Officer,0,5,13848,87006,9,0
Black,Police Officer,21,5,19693,90024,16,11
Black,Police Officer,16,8,4386,96060,7,8
White,Police Officer,12,7,19772,93354,25,5
Black,Police Officer,7,3,19878,93354,4,2
White,Police Officer,7,4,19785,75372,32,2
White,Police Officer,18,7,3760,90024,6,12
Hispanic,Police Officer,1,0,11819,84054,14,0
Black,Police Officer,3,3,15261,87006,9,0
Hispanic,"",0,0,10773,48078,0,0
Black,Police Officer,18,2,16164,93354,5,14
White,Sergeant of Police,24,0,2009,96648,19,9
White,Police Officer,13,6,19477,93354,30,4
Hispanic,Sergeant of Police,24,2,878,111474,17,4
Hispanic,Police Officer,5,1,5084,84054,36,0
Hispanic,Police Officer,5,3,3265,84054,28,0
Hispanic,Lieutenant of Police,14,2,82,125190,23,3
Black,Police Officer,25,3,6354,95106,13,21
White,Sergeant of Police,8,4,2288,107988,6,2
Asian/Pacific,Police Officer,10,2,20774,97440,46,2
Black,Police Officer as Detective,55,2,20717,103932,5,38
Hispanic,Police Officer,0,1,17305,80016,29,0
Hispanic,Police Officer,0,0,11590,72510,5,0
White,Police Officer / Field Training Officer,2,1,13717,88296,21,0
Black,Police Officer,19,2,7035,92316,4,7
White,Sergeant of Police,36,3,1794,107988,13,20
Hispanic,Police Officer,1,0,16833,69684,3,0
Hispanic,Police Officer,13,6,16929,87006,95,6
White,Sergeant of Police,16,4,1063,104628,91,6
Black,Police Officer,22,3,18857,78360,23,9
White,Police Officer,4,2,18746,84054,52,1
White,Police Officer,24,2,6252,90024,58,3
Asian/Pacific,Police Officer / Field Training Officer,9,4,18374,94524,41,0
White,Police Officer,10,3,19295,90024,68,4
Black,Police Officer,6,4,10766,90024,73,2
Black,Police Officer / Field Training Officer,11,2,3891,88296,33,2
White,Police Officer,25,2,12106,93354,7,9
White,Police Officer,8,2,8735,91338,32,1
Hispanic,Police Officer,10,1,7389,87006,77,1
Black,Police Officer,4,3,4777,93354,4,2
White,Police Officer,36,1,5667,68262,22,15
Black,Police Officer,4,11,11406,93354,0,1
Black,Police Officer,6,2,8910,84054,18,1
White,Lieutenant of Police,7,6,607,117894,11,3
Black,Sergeant of Police,11,4,1640,111474,19,5
White,Police Officer,1,1,5022,84054,34,0
Black,Police Officer,11,2,10822,87006,15,1
White,Police Officer,18,2,7074,96060,15,10
White,Police Officer as Detective,13,3,20412,91080,71,2
White,Police Officer,34,1,12186,79926,15,20
White,Police Officer as Detective,7,2,21177,94122,80,0
Black,Police Officer,16,4,7788,90024,15,1
Black,Police Officer,13,2,13010,87006,138,3
White,Police Officer as Detective,8,3,21411,103932,3,5
White,Police Officer,0,3,15507,90024,8,0
White,Sergeant of Police,15,1,1434,107988,13,3
White,Police Officer / Marine Officer,13,17,14888,99978,9,9
Black,Police Officer,1,1,19576,76266,4,0
Hispanic,Police Officer,24,2,16263,90024,33,5
Black,Police Officer,14,1,5824,86130,0,6
White,Police Officer,26,4,18412,93354,20,13
Black,Police Officer,5,11,10561,87006,49,0
White,"",0,0,9502,48078,0,0
White,Sergeant of Police,38,10,1564,107988,15,20
White,Sergeant of Police,67,5,1240,111474,27,41
White,Police Officer,13,8,7451,87006,164,4
White,Sergeant of Police,9,7,819,111474,7,7
White,Police Officer as Detective,28,7,21020,100980,11,14
White,Sergeant of Police,21,5,1727,102978,9,11
White,Police Officer,65,4,13409,90024,94,20
Hispanic,Police Officer / Field Training Officer,34,3,14856,100980,56,20
Hispanic,Police Officer / Field Training Officer,17,2,13102,99978,18,6
White,Police Officer,0,0,6896,84054,15,0
White,Police Officer,4,3,11167,87006,101,2
Black,Police Officer,9,1,18495,89718,0,5
White,Police Officer,21,10,16806,93354,38,13
Black,Police Officer,1,0,8401,84054,16,0
White,Police Officer,8,1,16075,83604,17,4
Hispanic,Police Officer,4,3,10188,93354,7,0
Hispanic,Police Officer,2,0,15911,76266,22,0
Black,Police Officer as Detective,19,1,21050,97440,21,3
Black,Police Officer,3,0,17235,87006,15,0
White,"",0,0,18434,48078,0,0
Hispanic,Police Officer,3,9,18019,90024,28,0
White,Police Officer,14,4,5121,87006,36,2
White,Police Officer,11,1,5515,87006,9,4
Hispanic,Police Officer,0,0,3474,68616,1,0
White,"",7,0,109,150396,0,2
Black,Police Officer,19,2,18481,93354,1,13
Black,Police Officer,16,3,6307,90024,12,4
White,Police Officer,0,0,11900,72510,7,0
Black,"",27,2,16755,100980,3,18
Hispanic,Police Officer,17,2,5003,96060,9,13
White,Sergeant of Police,19,2,2335,111474,3,2
Hispanic,Sergeant of Police,50,7,1105,104628,55,19
Hispanic,Police Officer,10,2,10385,90024,18,2
Asian/Pacific,Police Officer,4,2,17526,89130,14,1
White,Sergeant of Police,10,2,2001,99756,20,3
White,"",0,0,9043,48078,0,0
White,Sergeant of Police,18,1,1847,107988,7,12
White,Police Officer as Detective,12,5,20409,100980,5,4
Asian/Pacific,Police Officer,3,9,6890,93240,10,2
White,Sergeant of Police,10,3,1044,111474,1,5
White,Police Officer,46,10,6316,95106,13,35
Black,Police Officer,17,4,4199,93354,5,6
Hispanic,Police Officer,10,1,10084,93354,0,5
White,Police Officer,5,4,3873,90024,43,0
Black,Police Officer,11,3,18796,87006,21,3
Black,Police Officer,2,0,18694,65946,4,0
Black,Police Officer,6,7,11485,93240,5,2
Hispanic,Police Officer,2,0,16633,80016,18,1
White,Sergeant of Police,3,1,1240,99960,2,3
White,Police Officer,26,1,17187,93354,17,13
Black,Police Officer,3,1,11318,80016,16,2
White,Police Officer,6,6,15842,84054,77,1
White,Police Officer,6,0,18601,70656,2,2
White,Sergeant of Police,17,7,2293,104628,165,6
White,Sergeant of Police,39,8,2022,111474,7,31
White,Police Officer,7,2,6708,87006,44,3
Black,Police Officer,0,0,12233,68616,1,0
White,Police Officer / Field Training Officer,5,1,10369,88296,4,0
Hispanic,Police Officer,0,0,11931,72510,3,0
White,Sergeant of Police,16,5,1748,111474,10,9
Hispanic,Police Officer,0,0,16628,76266,6,0
White,"",0,0,7733,48078,0,0
Asian/Pacific,Police Officer,0,0,14109,72510,4,0
White,Police Officer,6,4,8980,87006,25,1
White,Police Officer,0,0,17587,72510,1,0
White,Police Officer,18,3,8682,80724,9,11
White,Police Officer,33,5,19212,92430,62,13
Black,Police Officer,8,0,17423,83604,3,2
White,Police Officer,5,2,5176,87006,8,1
Asian/Pacific,Police Officer,3,1,19104,87006,12,0
White,Police Officer,5,10,17115,96060,8,2
Black,Police Officer / Field Training Officer,9,0,13175,91338,23,4
White,Lieutenant of Police,19,2,261,121464,62,5
Hispanic,Police Officer,16,5,4873,90024,25,2
Black,Police Officer,24,3,7526,93354,4,10
White,Police Officer,0,4,15139,87006,16,0
Black,Police Officer,17,1,12241,93354,2,6
White,Police Officer,11,10,14912,90024,23,4
White,Police Officer / Marine Officer,4,13,15957,94524,40,2
White,Police Officer,0,0,17490,48078,2,0
Black,Sergeant of Police,22,2,2114,111474,19,12
Hispanic,Police Officer,9,1,13880,87006,35,3
Hispanic,Police Officer,3,1,14526,84054,9,0
White,Police Officer,1,4,21217,94122,4,0
Black,Police Officer,12,3,14960,90024,27,4
Black,Sergeant of Police,20,1,2468,101958,3,14
Hispanic,Police Officer,2,1,13521,87006,45,2
Black,Police Officer as Detective,11,2,20528,102900,6,8
Black,Police Officer,10,1,16739,90024,42,3
Hispanic,Police Officer as Detective,2,3,20251,103932,1,1
Black,Police Officer,0,1,17981,87006,0,0
White,Sergeant of Police,26,13,1733,104628,9,15
White,Police Officer,3,1,18814,76266,13,0
White,Police Officer,5,9,13835,90024,19,1
White,Sergeant of Police,10,5,997,107988,15,3
