,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
4911,7114,2.333333333333333,3.0,30.0,1,51.3496,0.0,3,16.59,16.59,,,,
4914,7119,3.333333333333333,11.0,45.0,0,21.6916,0.0,3,8.526666666666666,16.59,,,,
4915,7121,2.0,9.454545454545457,38.45454545454545,1,63.108000000000004,0.0,3,8.48,42.38,,,,
4916,7122,2.666666666666667,8.083333333333334,33.083333333333336,1,64.9421,0.08333333333333333,2,7.12,20.52,,,,
4917,7123,4.142857142857143,6.2857142857142865,31.285714285714285,1,64.1168,0.0,2,4.357142857142857,9.6,,,,
4918,7124,5.166666666666666,3.5,28.5,1,90.4627,0.0,2,8.6625,9.6,,,,
4920,7128,1.0,5.25,36.25,0,50.7508,0.0,3,8.745,9.56,,,,
4921,7129,1.75,4.5,41.5,0,54.3961,0.0,2,6.6975,13.42,,,,
4922,7130,2.666666666666667,14.111111111111109,45.111111111111114,1,43.0438,0.22222222222222224,2,6.047777777777777,9.56,,,,
4928,7138,1.0,3.0,37.0,1,15.9604,0.0,3,0.77,0.77,,,,
4929,7139,2.0357142857142856,9.178571428571429,34.17857142857143,1,87.6581,0.07142857142857144,2,9.59,16.59,,,,
4930,7140,1.0,20.0,51.0,1,20.451,0.0,3,0.77,0.77,,,,
4933,7144,2.25,2.75,27.75,1,72.4313,0.0,3,9.6975,16.59,,,,
4934,7146,5.5,7.5,56.5,1,29.572,0.5,2,6.095,6.3,,,,
4939,7151,2.0,53.0,82.0,1,0.0,0.0,3,0.77,0.77,,,,
4940,7153,1.0,35.0,58.0,1,23.4692,0.0,3,5.89,5.89,,,,
4942,7155,192.0,26.0,50.0,1,35.5653,0.0,3,7.66,7.66,,,,
4943,7157,6.833333333333333,5.0,28.0,0,51.4577,0.0,2,7.0616666666666665,9.6,,,,
4945,7159,2.0,2.0,33.0,1,76.5427,0.0,3,15.66,16.59,,,,
4946,7160,2.212121212121212,7.272727272727272,32.27272727272727,1,95.2543,0.09090909090909091,2,8.399375,16.59,,,,
4947,7163,2.0,7.0,34.0,1,73.76100000000001,0.0,2,9.259230769230768,16.59,,,,
4948,7164,2.666666666666667,7.0,30.0,0,65.2936,0.0,2,5.450833333333333,16.59,,,,
4949,7167,3.125,4.875,26.875,1,96.11399999999999,0.0,2,12.145625,16.59,,,,
