gender,race,appointed_date,rank,birth_year,resignation_date,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,current_badge,current_salary,discipline_count,honorable_mention_count,last_unit_id,major_award_count,trr_count,unsustained_count,has_unique_name
M,White,10/1/1998,,1942,,0,0,51.4927,0,0,0,0,4,,,0,4,,0,0,0,FALSE
M,Unknown,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,2/11/1946,,1924,8/15/1987,,,0,,,0,0,0,,,0,0,85,0,0,0,FALSE
M,Black,7/1/1963,,1944,5/11/1990,0,,0,,,0,0,0,,,0,0,4,0,0,0,FALSE
M,Black,11/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,12/9/1947,,1917,11/10/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,11/1/2007,,1987,9/7/2012,0,0,0,0,0,0,0,1,,,0,0,,0,0,0,FALSE
M,Black,6/12/1961,,1935,10/8/1981,,,0,,,0,0,0,,,0,0,,0,0,0,TRUE
M,White,12/6/1945,,1923,2/15/1980,,,0,,,0,0,0,,,0,0,,0,0,0,TRUE
M,Black,7/17/2017,,,,,,,,,0,0,0,8240,48078,0,0,,0,0,0,TRUE
M,White,1/16/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,TRUE
F,White,1/28/1980,,1952,9/1/1980,,,,,,0,0,0,,,0,0,,0,0,0,TRUE
M,White,11/22/1993,Detective,1964,,59.543,47.638,84.2287,0,49.1036,12,0,3,20634,100980,0,50,153,0,2,8,TRUE
M,Black,6/16/2017,,1991,,,,,,,0,0,0,8828,48078,0,0,,0,0,0,TRUE
M,Hispanic,5/2/1988,Detective,1963,5/15/2017,45.6268,24.118,44.7068,0,0,10,1,3,20399,102900,0,4,151,0,0,8,TRUE
M,White,10/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,,,1938,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,7/17/2017,,,,,,,,,0,0,0,8013,48078,0,0,,0,0,0,FALSE
M,White,10/11/2001,,1978,,0,0,70.0165,0,0,0,0,0,,,0,11,,0,0,0,FALSE
M,White,6/16/2017,,,,,,,,,0,0,0,9900,48078,0,0,,0,0,0,FALSE
M,White,,,1941,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,8/16/2017,,,,,,,,,0,0,0,3025,48078,0,0,,0,0,0,FALSE
M,White,5/16/1956,,1927,8/4/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,6/4/1973,,1949,4/3/1981,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,7/16/1957,,1932,2/16/1981,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,4/28/1969,,1948,11/13/1979,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,10/17/1960,,1935,11/16/1979,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,2/28/1949,,1924,9/19/1980,,,0,,,0,0,0,,,0,0,59,0,0,0,FALSE
M,White,4/12/1948,,1923,8/21/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,9/18/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Asian/Pacific,10/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,10/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,12/15/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,5/16/2017,,,,,,,,,0,0,0,10689,48078,0,0,,0,0,0,FALSE
M,White,12/8/1952,,1926,6/5/1989,0,,0,,,0,0,0,,,0,0,21,0,0,0,FALSE
M,White,11/6/1946,,1919,5/22/1982,,,0,,,0,0,0,,,0,0,18,0,0,0,FALSE
M,Hispanic,12/15/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,12/15/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,11/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,9/1/1956,,1929,5/1/1984,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,8/16/2017,,,,,,,,,0,0,0,7383,48078,0,0,,0,0,0,FALSE
M,White,7/27/2018,Police Officer,1990,,,,,,,,,,14572,,,,,,,,FALSE
M,Black,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,8/16/2017,,,,,,,,,0,0,0,7713,,0,0,,0,0,0,FALSE
F,Black,4/17/2017,,,,,,,,,0,0,0,12191,,0,0,,0,0,0,FALSE
M,White,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,5/16/2017,,,,,,,,,0,0,0,10280,,0,0,,0,0,0,FALSE
M,Hispanic,12/15/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,5/16/2017,,,,,,,,,0,0,0,11238,,0,0,,0,0,0,FALSE
M,White,5/16/2017,,,,,,,,,0,0,0,10348,,0,0,,0,0,0,FALSE
M,Hispanic,8/16/2017,,,,,,,,,0,0,0,7608,48078,0,0,,0,0,0,FALSE
M,Unknown,,,,,,,,,,0,0,0,,48078,0,0,,0,0,0,FALSE
F,Unknown,,,,,,,,,,0,0,0,,48078,0,0,,0,0,0,FALSE
M,White,3/4/1946,,1917,10/10/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,6/1/1956,,1923,9/17/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,3/25/1946,,1922,7/18/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,8/22/1955,,1919,8/13/1982,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,10/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
F,Hispanic,5/16/2017,,,,,,,,,0,0,0,10608,,0,0,,0,0,0,FALSE
M,White,11/16/2017,,,8/16/2012,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,6/16/2017,,1992,,,,,,,0,0,0,8706,,0,0,,0,0,0,FALSE
M,White,10/16/1951,,1916,11/19/1979,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
F,Unknown,,,,,,,,,,0,0,0,,48078,0,0,,0,0,0,FALSE
M,Unknown,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,9/18/2017,,1990,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,4/14/1952,,1920,2/2/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,2/20/2018,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,2/1/1955,,1929,2/10/1987,,,0,,,0,0,0,,,0,0,221,0,0,0,FALSE
M,White,3/4/1946,,1917,6/29/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,8/22/1955,,1927,11/20/1990,0,,0,,,1,0,0,,,0,0,94,0,0,0,FALSE
M,White,10/1/1956,,1921,10/3/1979,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,11/26/1962,,1931,12/3/1980,,,0,,,2,2,0,,,2,0,,0,0,0,FALSE
M,Black,6/16/1954,,1924,4/16/1987,,,0,,,0,0,0,,,0,0,8,0,0,0,FALSE
M,Black,,,1915,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,7/1/1957,,1927,11/12/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,9/5/1960,,1931,12/3/1977,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,3/2/1953,,1927,7/31/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,3/16/2007,,1945,,81.0057,29.3153,0,0,47.3392,9,1,0,14394,40632,1,0,,0,1,3,FALSE
,Unknown,6/1/2016,,1960,,,,0,,,4,1,0,,,1,0,,0,0,2,FALSE
,Unknown,7/1/2016,,1947,,,,0,,,11,3,0,,,2,0,,0,0,5,FALSE
M,Black,11/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Hispanic,2/14/1983,Police Agent,1957,3/15/2012,47.8438,0,39.9161,74.6162,0,10,1,0,,90540,0,1,80,1,0,5,FALSE
F,Black,4/4/1977,Police Agent,1950,5/1/2000,30.0228,,0,,,2,1,0,,,1,0,80,1,0,1,FALSE
M,White,12/2/1991,,1967,,73.3713,47.638,0,0,0,19,1,1,5562,114846,1,0,193,0,0,14,FALSE
M,White,6/1/2005,Police Technician,1962,5/15/2012,73.7959,0,0,0,0,6,2,1,,87918,2,0,80,1,0,2,FALSE
M,White,6/8/1998,Detective,1972,,99.9312,99.9153,85.3608,97.0251,84.903,102,6,6,1056,97440,6,44,153,1,11,49,FALSE
M,White,7/30/1951,,1926,8/1/1980,,,0,,,2,2,0,,,2,0,,0,0,0,FALSE
M,White,10/1/1956,,1925,6/16/1981,,,0,,,5,0,0,,,0,0,,0,0,3,FALSE
M,White,6/15/1970,Police Technician,1949,4/26/2002,26.1809,51.7712,0,0,,2,1,0,,,1,2,153,0,0,1,FALSE
M,Black,12/7/1987,Detective,1962,,97.9749,92.8393,74.9911,88.3297,56.6663,72,2,3,20711,103932,2,31,153,0,3,51,FALSE
M,Hispanic,6/16/2017,,,,,,,,,0,0,0,9455,,0,0,,0,0,0,FALSE
M,Hispanic,11/16/2017,,,,,,,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,11/16/1970,Police Agent,1946,11/3/2000,23.0286,,0,,,1,0,0,,,0,0,80,1,0,1,FALSE
,Unknown,6/1/2016,,1952,,,,0,,,6,0,0,,,0,0,,0,0,4,FALSE
M,White,9/16/2005,,1985,9/23/2005,,,,,,0,0,2,,,0,5,,0,0,0,FALSE
M,Unknown,,,,,,,,,,0,0,0,,48078,0,0,,0,0,0,FALSE
M,Unknown,,,,,,,,,,0,0,0,,48078,0,0,,0,0,0,FALSE
M,White,2/14/1948,,1925,2/1/1988,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,3/16/1959,,1934,6/16/1987,,,0,,,0,0,2,,,0,3,,0,0,0,FALSE
M,White,4/16/2010,,1983,,0,0,62.2247,0,0,0,0,0,,43104,0,3,,0,0,0,FALSE
M,Black,7/15/2003,,,,0,0,62.8748,0,0,0,0,0,,,0,6,,0,0,0,FALSE
M,White,12/10/2000,,1976,,0,0,69.3114,0,0,0,0,0,,,0,11,,0,0,0,FALSE
M,White,6/1/1974,,1938,10/1/1979,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,6/15/1970,,1944,8/23/1985,,,0,,,0,0,0,,,0,0,10,0,0,0,FALSE
M,Black,1/23/1967,Police Agent,1931,3/15/1995,46.2399,,0,,,2,0,0,,,0,0,,1,0,0,FALSE
M,Black,3/5/1962,Police Agent,1932,7/8/1991,0,,0,,,0,0,0,,,0,0,,1,0,0,FALSE
M,Black,10/23/1967,Police Agent,1946,4/16/1996,0,,0,,,0,0,0,,,0,0,80,1,0,0,FALSE
M,White,2/11/1946,,1918,6/1/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,White,10/10/1953,,1924,10/24/1980,,,0,,,0,0,0,,,0,0,,0,0,0,FALSE
M,Black,8/30/1982,Assistant Superintendent,1957,6/15/2011,75.9684,27.938,41.3671,88.0204,54.6117,22,3,11,380,188316,2,1,104,0,1,13,FALSE
M,Hispanic,10/25/1999,,1976,,55.7411,57.7487,81.1042,61.1521,49.1036,8,0,1,12316,107790,0,30,193,0,2,2,FALSE
M,Black,3/4/1985,,1960,,27.817,41.5139,0,0,72.1094,5,0,0,17311,92316,0,0,19,0,6,2,FALSE
F,Hispanic,,,1960,,,,,,,1,0,0,,,0,0,,0,0,0,FALSE
M,White,5/16/2005,,1950,,19.8999,0,0,0,0,1,0,0,,82422,0,0,,0,0,0,FALSE
M,White,6/24/1968,Police Agent,1945,8/1/1997,28.4638,,0,,,5,3,0,,,3,0,80,0,0,1,FALSE
M,Black,10/1/1980,,1928,2/16/1996,90.1283,,0,,,17,8,1,,,6,6,,0,0,5,FALSE
F,Black,6/1/2016,,1956,,,,0,,,1,1,0,,,1,0,,0,0,0,FALSE
