officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
20062,F,White,1997-05-05,Police Officer,No,1961,55.5737,0,90.6854,0,5,0,0,,0,0,5
20063,M,White,1998-07-27,Police Officer,Yes,1974,81.8766,44,0.0000,6,15,0,6,19354,0,0,2
20065,M,Black,2006-07-31,Police Officer,Yes,1981,88.5589,48,78.3386,30,13,1,3,10545,1,3,3
20066,M,Asian/Pacific,2013-05-01,Police Officer,Yes,1977,50.6528,11,0.0000,2,3,0,2,4360,0,0,0
20067,M,White,1991-03-27,Lieutenant of Police,Yes,1967,24.1180,5,61.1521,0,11,1,3,345,1,5,5
20068,M,White,2003-09-29,Sergeant of Police,Yes,1972,56.4082,26,87.0241,7,7,1,3,1559,1,1,0
20069,F,White,2010-04-16,Police Officer,Yes,1984,87.1886,101,0.0000,11,8,0,6,17579,0,0,0
20072,M,White,2006-12-18,Police Officer,Yes,1971,57.4995,47,78.9117,2,5,0,1,4383,0,0,1
20073,M,White,1993-11-22,Sergeant of Police,Yes,1965,89.5804,11,0.0000,2,27,0,2,2212,0,0,11
20074,M,White,2005-12-05,Police Officer,No,1980,76.7491,69,0.0000,9,8,0,4,10191,0,1,3
20076,M,White,2006-06-26,Police Officer,Yes,1974,68.8310,64,78.2490,3,7,1,4,17808,1,1,0
20078,M,Black,1976-04-26,Police Officer,No,1940,46.4532,0,99.1093,0,18,5,4,,5,0,9
20079,M,Black,1992-12-07,Police Officer,No,1951,33.7435,5,86.3478,1,8,2,3,18284,2,0,4
20088,F,Black,1994-08-01,Police Officer,No,1956,63.8629,3,70.2810,5,15,0,5,9392,0,0,6
20089,M,Black,1997-03-17,Police Officer,Yes,1963,53.0197,19,88.3297,3,11,2,1,18003,2,0,3
20091,M,White,1967-10-16,Police Officer as Detective,No,1946,45.4747,0,0.0000,0,4,2,0,,2,0,1
20092,M,Black,1982-11-29,Police Officer as Detective,No,1960,72.3141,0,93.0935,2,27,8,2,20679,6,0,15
20093,M,White,1991-12-16,Police Officer as Detective,Yes,1962,53.0197,7,0.0000,0,19,0,2,21128,0,1,11
20098,F,White,2005-08-29,Police Officer,No,1978,38.0307,15,0.0000,2,2,0,6,13159,0,1,1
20100,M,Black,1986-02-03,Police Officer,No,1952,36.5364,0,0.0000,0,31,2,0,,2,0,21
20104,M,White,2003-08-25,Police Officer / Field Training Officer,Yes,1968,80.6956,30,74.4170,8,14,0,2,7825,0,0,4
20105,F,White,1999-08-02,Police Officer,Yes,1975,79.7738,12,61.1521,6,15,1,1,20808,1,0,8
20107,M,Black,2002-07-29,Police Officer,Yes,1970,52.8453,9,92.1068,5,8,2,2,18567,2,0,1
20110,M,White,2002-09-30,Police Officer,No,1970,56.0444,10,0.0000,0,1,0,0,,0,0,0
20111,M,White,2010-09-01,Police Officer,No,1971,52.1726,20,0.0000,2,2,1,1,16496,1,0,0
20112,F,Black,2004-10-25,Police Officer,Yes,1970,44.8276,34,94.4090,4,7,0,4,3258,0,0,1
20113,M,Black,2000-08-14,Police Officer,Yes,1967,60.3000,10,84.4678,0,9,1,4,8692,1,0,2
20114,M,White,1998-09-28,Sergeant of Police,No,1972,87.5977,4,98.0676,4,24,5,1,1896,4,0,11
